ID,Variable1,Dependency,Variable2
1,propertyManagement,->,propertyExpenses
2,propertyExpenses,->,actualRentalIncome
3,propertyExpenses,->,propertyExpensesGrowth
4,rentalGrossProfit,->,propertyExpensesGrowth
5,actualRentalIncome,->,rentalGrossProfit
6,actualRentalIncome,->,rentalIncomeT+1
7,actualRentalIncome,->,rentalIncome
8,actualRentalIncome,->,capitalGains
9,otherPropertyExpenses,->,propertyExpenses
10,otherPropertyExpenses,->,otherPropertyExpensesT+1
11,otherPropertyExpenses,->,interest
12,rentalNetProfitBeforeInterest,->,rentalIncomeT+1
13,rentalNetProfitBeforeInterest,->,rentalIncomeLoss%
14,rentalNetProfitBeforeInterest,->,netProfit
15,rentalGrossYield,->,propertyExpenses
16,rentalGrossYield,->,rentalNetProfitBeforeInterest
17,rentalGrossYield,->,otherInterestFees
18,rentalIncomeLoss%,->,interest
19,propertyPurchaseValue,->,propertyValueT+1
20,propertyValueT+1,->,rentalGrossYield
21,propertyValueT+1,->,LTV
22,propertyValueT+1,->,stampDutyTaxBand
23,stampDutyTaxBand,->,stampDutyTax
24,stampDutyTax,->,capitalGains
25,capitalGains,->,capitalGrowth
26,otherPropertyExpensesT+1,->,rentalGrossProfit
27,rentalGrowth,->,rentalIncomeT+1
28,incomeTax,->,rentalNetProfitBeforeInterest
29,incomeTax,->,capitalGains
30,interestTaxRelief,->,netProfit
31,interest,->,propertyManagement
32,interest,->,actualRentalIncome
33,interest,->,interestTaxRelief
34,interest,->,interestRate
35,interestRate,->,LTV
36,borrowing,->,LTV
37,borrowing,->,interest
