ID,Variable1,Dependency,Variable2
1,BF_BottleFeeding,->,CUL_Religion
2,BF_BottleFeeding,->,DIA_HadDiarrhoea
3,CUL_LanguageGroup,->,GEO_Region
4,CUL_Religion,->,MTH_MaternalAge
5,ECO_WealthQuintile,->,KNW_WatchTV
6,ECO_WealthQuintile,->,MTH_Education
7,ECO_WealthQuintile,->,WSH_ImprovedWaterSource
8,GEO_Region,->,WSH_WaterTreated
9,IMM_Diptheria,->,DEL_SmallBaby
10,IMM_Diptheria,->,IMM_Measles
11,IMM_VitaminA1,->,FP_ModernMethod
12,IMM_VitaminA1,->,IMM_Measles
13,KNW_WatchTV,->,CHI_Weight4Height
14,KNW_WatchTV,->,WSH_WashWithAgent
15,MTH_Education,->,WSH_ImprovedToilet
16,SRV_OKAlone,->,SRV_Near
17,WSH_ImprovedToilet,->,CUL_LanguageGroup
18,WSH_ImprovedWaterSource,->,HOU_ModernWallMaterial
19,WSH_WaterTreated,->,BF_BreastfedMonths
20,WSH_WaterTreated,->,HOU_CookingFuel
