ID,Variable1,Dependency,Variable2
1,CHI_Age,->,BF_BreastfedMonths
2,ECO_WealthQuintile,->,FP_ModernMethod
3,ECO_WealthQuintile,->,MTH_Education
4,ECO_WealthQuintile,->,WSH_ImprovedWaterSource
5,ECO_WealthQuintile,->,WSH_WashWithAgent
6,GEO_Region,->,CUL_LanguageGroup
7,IMM_Measles,->,CHI_Age
8,IMM_Measles,->,IMM_Diptheria
9,IMM_Measles,->,SRV_Near
10,IMM_Measles,->,WSH_WaterTreated
11,KNW_WatchTV,->,MTH_MaternalAge
12,MTH_Education,->,KNW_WatchTV
13,SRV_OKAlone,->,SRV_Near
14,WSH_ImprovedToilet,->,ECO_WealthQuintile
15,WSH_ImprovedWaterSource,->,BF_EarlyBreastfeeding
16,WSH_ImprovedWaterSource,->,GEO_Region
17,WSH_SafeStoolDisposal,->,WSH_ImprovedToilet
