ID,Variable1,Dependency,Variable2
1,BF_BreastfedMonths,->,IMM_VitaminA1
2,CHI_Age,->,FP_BirthsLast5Yrs
3,CUL_LanguageGroup,->,HOU_ModernWallMaterial
4,ECO_WealthQuintile,->,KNW_WatchTV
5,ECO_WealthQuintile,->,MTH_Education
6,ECO_WealthQuintile,->,SRV_Near
7,ECO_WealthQuintile,->,WSH_ImprovedToilet
8,GEO_Region,->,CUL_LanguageGroup
9,IMM_Diptheria,->,WSH_WashWithAgent
10,IMM_Measles,->,BF_BreastfedMonths
11,IMM_Measles,->,CHI_Age
12,IMM_Measles,->,IMM_Diptheria
13,IMM_VitaminA1,->,WSH_WashWithAgent
14,SRV_Near,->,DEL_SmallBaby
15,SRV_Near,->,SRV_OKAlone
16,SRV_OKAlone,->,BF_EarlyBreastfeeding
17,WSH_ImprovedToilet,->,CHI_Weight4Height
18,WSH_ImprovedToilet,->,WSH_ImprovedWaterSource
19,WSH_ImprovedToilet,->,WSH_SafeStoolDisposal
20,WSH_ImprovedWaterSource,->,WSH_WaterTreated
21,WSH_WaterTreated,->,HOU_CookingFuel
