ID,Variable1,Dependency,Variable2
1,BF_BreastfedMonths,->,MTH_MaternalAge
2,CHI_Age,->,BF_BreastfedMonths
3,CHI_Age,->,IMM_Measles
4,CUL_LanguageGroup,->,GEO_Region
5,CUL_LanguageGroup,->,HOU_ModernWallMaterial
6,ECO_WealthQuintile,->,KNW_WatchTV
7,ECO_WealthQuintile,->,WSH_ImprovedToilet
8,GEO_Region,->,WSH_ImprovedWaterSource
9,IMM_Diptheria,->,DIA_HadDiarrhoea
10,IMM_Measles,->,IMM_Diptheria
11,IMM_Measles,->,IMM_VitaminA1
12,KNW_WatchTV,->,MTH_Education
13,MTH_MaternalAge,->,DEL_SmallBaby
14,MTH_MaternalAge,->,FP_ModernMethod
15,SRV_Near,->,SRV_OKAlone
16,WSH_ImprovedWaterSource,->,CUL_Religion
17,WSH_ImprovedWaterSource,->,HOU_CookingFuel
18,WSH_ImprovedWaterSource,->,WSH_WaterTreated
19,WSH_WaterTreated,->,WSH_WashWithAgent
