ID,Variable1,Dependency,Variable2
1,BF_BreastfedMonths,->,WSH_WashWithAgent
2,CHI_Age,->,BF_BreastfedMonths
3,CUL_LanguageGroup,->,GEO_Region
4,CUL_LanguageGroup,->,HOU_ModernWallMaterial
5,ECO_WealthQuintile,->,KNW_WatchTV
6,ECO_WealthQuintile,->,MTH_Education
7,ECO_WealthQuintile,->,WSH_ImprovedToilet
8,GEO_Region,->,CUL_Religion
9,IMM_Measles,->,CHI_Age
10,IMM_Measles,->,CHI_Weight4Height
11,IMM_Measles,->,FP_BirthsLast5Yrs
12,IMM_Measles,->,IMM_Diptheria
13,IMM_Measles,->,IMM_VitaminA1
14,KNW_WatchTV,->,SRV_OKAlone
15,MTH_Education,->,WSH_WaterTreated
16,SRV_OKAlone,->,FP_ModernMethod
17,SRV_OKAlone,->,SRV_Near
18,WSH_ImprovedToilet,->,WSH_SafeStoolDisposal
19,WSH_WaterTreated,->,DIA_HadDiarrhoea
20,WSH_WaterTreated,->,HOU_CookingFuel
21,WSH_WaterTreated,->,WSH_ImprovedWaterSource
