ID,Variable1,Dependency,Variable2
1,BF_BottleFeeding,->,HOU_CookingFuel
2,CUL_LanguageGroup,->,GEO_Region
3,ECO_WealthQuintile,->,IMM_VitaminA1
4,FP_ModernMethod,->,MTH_MaternalAge
5,HOU_CookingFuel,->,FP_BirthsLast5Yrs
6,IMM_Diptheria,->,DIA_HadDiarrhoea
7,IMM_Diptheria,->,IMM_Measles
8,IMM_Measles,->,CHI_Age
9,IMM_Measles,->,CHI_Weight4Height
10,IMM_Measles,->,HOU_ModernWallMaterial
11,IMM_Measles,->,MTH_Education
12,IMM_VitaminA1,->,IMM_Measles
13,KNW_WatchTV,->,FP_ModernMethod
14,MTH_Education,->,KNW_WatchTV
15,SRV_OKAlone,->,BF_BottleFeeding
16,SRV_OKAlone,->,SRV_Near
17,WSH_ImprovedToilet,->,ECO_WealthQuintile
18,WSH_ImprovedToilet,->,WSH_ImprovedWaterSource
19,WSH_ImprovedToilet,->,WSH_SafeStoolDisposal
20,WSH_ImprovedWaterSource,->,WSH_WashWithAgent
21,WSH_ImprovedWaterSource,->,WSH_WaterTreated
