ID,Variable1,Variable2,TrueOrFalse
0,CUL_LanguageGroup,HOU_ModernWallMaterial,true
1,ECO_WealthQuintile,BF_BreastfedMonths,true
2,MTH_Education,SRV_Near,true
3,CUL_Religion,BF_BreastfedMonths,true
4,CHI_Age,IMM_Diptheria,true
5,ECO_WealthQuintile,MTH_Education,true
6,CUL_LanguageGroup,ECO_WealthQuintile,true
7,GEO_Region,WSH_ImprovedWaterSource,true
8,DEL_SmallBaby,CHI_Weight4Height,true
9,ECO_WealthQuintile,WSH_ImprovedToilet,true
10,GEO_Region,CUL_Religion,true
11,WSH_ImprovedToilet,WSH_SafeStoolDisposal,true
12,ECO_WealthQuintile,DEL_SmallBaby,true
13,CHI_Age,BF_BottleFeeding,true
14,WSH_WashWithAgent,DEL_SmallBaby,false
15,DEL_SmallBaby,DIA_HadDiarrhoea,false
16,CUL_LanguageGroup,IMM_Measles,false
17,CHI_Weight4Height,HOU_CookingFuel,false
18,FP_BirthsLast5Yrs,ECO_WealthQuintile,false
19,FP_BirthsLast5Yrs,DIA_HadDiarrhoea,false
20,BF_BottleFeeding,WSH_WashWithAgent,false
21,DEL_SmallBaby,KNW_WatchTV,false
22,FP_BirthsLast5Yrs,HOU_CookingFuel,false
23,DIA_HadDiarrhoea,FP_BirthsLast5Yrs,false
24,CUL_LanguageGroup,WSH_ImprovedToilet,false
25,CHI_Weight4Height,IMM_Measles,false
26,WSH_WashWithAgent,BF_BreastfedMonths,false
27,FP_BirthsLast5Yrs,WSH_WaterTreated,false
