ID,Variable1,Variable2,TrueOrFalse
0,MTH_MaternalAge,FP_ModernMethod,true
1,WSH_ImprovedToilet,WSH_ImprovedWaterSource,true
2,GEO_Region,WSH_ImprovedToilet,true
3,ECO_WealthQuintile,BF_BreastfedMonths,true
4,BF_EarlyBreastfeeding,DIA_HadDiarrhoea,true
5,CUL_Religion,BF_BreastfedMonths,true
6,KNW_WatchTV,IMM_VitaminA1,true
7,CUL_LanguageGroup,ECO_WealthQuintile,true
8,WSH_ImprovedToilet,WSH_SafeStoolDisposal,true
9,ECO_WealthQuintile,DEL_SmallBaby,true
10,ECO_WealthQuintile,CHI_Weight4Height,true
11,FP_ModernMethod,FP_BirthsLast5Yrs,true
12,ECO_WealthQuintile,MTH_Education,true
13,CUL_LanguageGroup,FP_BirthsLast5Yrs,true
14,HOU_ModernWallMaterial,IMM_Measles,false
15,CUL_LanguageGroup,BF_BreastfedMonths,false
16,CHI_Age,FP_ModernMethod,false
17,BF_BreastfedMonths,WSH_ImprovedWaterSource,false
18,KNW_WatchTV,HOU_CookingFuel,false
19,HOU_CookingFuel,CHI_Age,false
20,IMM_Diptheria,HOU_ModernWallMaterial,false
21,CUL_LanguageGroup,IMM_Diptheria,false
22,CHI_Weight4Height,IMM_VitaminA1,false
23,FP_ModernMethod,SRV_OKAlone,false
24,DIA_HadDiarrhoea,GEO_Region,false
25,BF_BottleFeeding,FP_BirthsLast5Yrs,false
26,HOU_CookingFuel,BF_BreastfedMonths,false
27,BF_EarlyBreastfeeding,SRV_Near,false
