ID,Variable1,Variable2,TrueOrFalse
0,CUL_LanguageGroup,HOU_ModernWallMaterial,true
1,MTH_Education,KNW_WatchTV,true
2,WSH_ImprovedToilet,WSH_ImprovedWaterSource,true
3,MTH_MaternalAge,CHI_Age,true
4,ECO_WealthQuintile,CHI_Weight4Height,true
5,GEO_Region,WSH_ImprovedToilet,true
6,ECO_WealthQuintile,DEL_SmallBaby,true
7,CHI_Age,BF_BottleFeeding,true
8,DEL_SmallBaby,CHI_Weight4Height,true
9,MTH_Education,IMM_Diptheria,true
10,CHI_Age,IMM_Diptheria,true
11,ECO_WealthQuintile,FP_BirthsLast5Yrs,true
12,MTH_MaternalAge,FP_ModernMethod,true
13,HOU_CookingFuel,WSH_WaterTreated,true
14,CUL_Religion,CUL_LanguageGroup,false
15,HOU_ModernWallMaterial,GEO_Region,false
16,HOU_CookingFuel,MTH_Education,false
17,CUL_LanguageGroup,WSH_WaterTreated,false
18,DEL_SmallBaby,CHI_Age,false
19,BF_BreastfedMonths,SRV_OKAlone,false
20,MTH_MaternalAge,WSH_WaterTreated,false
21,WSH_SafeStoolDisposal,BF_EarlyBreastfeeding,false
22,CUL_Religion,WSH_WashWithAgent,false
23,CHI_Age,DIA_HadDiarrhoea,false
24,FP_BirthsLast5Yrs,BF_BottleFeeding,false
25,SRV_Near,WSH_WashWithAgent,false
26,KNW_WatchTV,CHI_Age,false
27,IMM_Diptheria,WSH_ImprovedToilet,false
