ID,Variable1,Variable2,TrueOrFalse
0,ECO_WealthQuintile,HOU_ModernWallMaterial,true
1,GEO_Region,CUL_Religion,true
2,CUL_LanguageGroup,WSH_ImprovedWaterSource,true
3,SRV_Near,SRV_OKAlone,true
4,WSH_ImprovedWaterSource,DIA_HadDiarrhoea,true
5,DEL_SmallBaby,CHI_Weight4Height,true
6,ECO_WealthQuintile,DEL_SmallBaby,true
7,CUL_LanguageGroup,HOU_ModernWallMaterial,true
8,ECO_WealthQuintile,FP_BirthsLast5Yrs,true
9,CHI_Age,BF_BreastfedMonths,true
10,CUL_LanguageGroup,FP_BirthsLast5Yrs,true
11,CUL_LanguageGroup,MTH_Education,true
12,MTH_Education,IMM_Diptheria,true
13,IMM_Measles,DIA_HadDiarrhoea,true
14,ECO_WealthQuintile,IMM_Measles,false
15,WSH_ImprovedToilet,DIA_HadDiarrhoea,false
16,CHI_Age,FP_BirthsLast5Yrs,false
17,IMM_VitaminA1,WSH_WaterTreated,false
18,WSH_WashWithAgent,WSH_WaterTreated,false
19,WSH_WaterTreated,IMM_Diptheria,false
20,WSH_WaterTreated,IMM_VitaminA1,false
21,WSH_WashWithAgent,CUL_LanguageGroup,false
22,CUL_Religion,SRV_Near,false
23,ECO_WealthQuintile,BF_EarlyBreastfeeding,false
24,CHI_Age,KNW_WatchTV,false
25,BF_EarlyBreastfeeding,FP_BirthsLast5Yrs,false
26,WSH_WaterTreated,WSH_ImprovedToilet,false
27,DIA_HadDiarrhoea,FP_ModernMethod,false
