ID,Variable1,Variable2,TrueOrFalse
0,BF_BottleFeeding,DIA_HadDiarrhoea,true
1,KNW_WatchTV,IMM_Measles,true
2,CHI_Age,IMM_VitaminA1,true
3,KNW_WatchTV,IMM_Diptheria,true
4,CUL_LanguageGroup,HOU_ModernWallMaterial,true
5,CUL_LanguageGroup,WSH_ImprovedWaterSource,true
6,MTH_Education,BF_BottleFeeding,true
7,MTH_Education,IMM_VitaminA1,true
8,CUL_Religion,BF_BreastfedMonths,true
9,CUL_LanguageGroup,ECO_WealthQuintile,true
10,ECO_WealthQuintile,MTH_Education,true
11,GEO_Region,CUL_Religion,true
12,CHI_Age,IMM_Diptheria,true
13,IMM_Measles,DIA_HadDiarrhoea,true
14,CHI_Age,CHI_Weight4Height,false
15,FP_BirthsLast5Yrs,HOU_ModernWallMaterial,false
16,FP_BirthsLast5Yrs,WSH_SafeStoolDisposal,false
17,SRV_Near,CUL_LanguageGroup,false
18,WSH_WashWithAgent,CHI_Weight4Height,false
19,KNW_WatchTV,CUL_LanguageGroup,false
20,FP_ModernMethod,CHI_Weight4Height,false
21,CHI_Age,WSH_WashWithAgent,false
22,WSH_ImprovedToilet,GEO_Region,false
23,BF_BreastfedMonths,HOU_ModernWallMaterial,false
24,WSH_ImprovedToilet,CHI_Age,false
25,DIA_HadDiarrhoea,HOU_ModernWallMaterial,false
26,SRV_OKAlone,DIA_HadDiarrhoea,false
27,BF_BottleFeeding,CHI_Age,false
