ID,Variable1,Variable2,TrueOrFalse
0,SRV_Near,DEL_SmallBaby,true
1,BF_EarlyBreastfeeding,DIA_HadDiarrhoea,true
2,ECO_WealthQuintile,DEL_SmallBaby,true
3,MTH_MaternalAge,FP_ModernMethod,true
4,MTH_Education,IMM_Diptheria,true
5,CUL_LanguageGroup,BF_EarlyBreastfeeding,true
6,KNW_WatchTV,IMM_VitaminA1,true
7,CHI_Age,IMM_VitaminA1,true
8,ECO_WealthQuintile,FP_BirthsLast5Yrs,true
9,MTH_Education,IMM_Measles,true
10,CHI_Age,IMM_Measles,true
11,GEO_Region,BF_BottleFeeding,true
12,ECO_WealthQuintile,HOU_ModernWallMaterial,true
13,WSH_ImprovedWaterSource,DIA_HadDiarrhoea,true
14,WSH_ImprovedToilet,HOU_ModernWallMaterial,false
15,IMM_VitaminA1,WSH_WashWithAgent,false
16,FP_BirthsLast5Yrs,DIA_HadDiarrhoea,false
17,MTH_MaternalAge,CUL_LanguageGroup,false
18,FP_ModernMethod,HOU_CookingFuel,false
19,IMM_Measles,HOU_CookingFuel,false
20,FP_ModernMethod,KNW_WatchTV,false
21,HOU_ModernWallMaterial,KNW_WatchTV,false
22,CHI_Weight4Height,WSH_SafeStoolDisposal,false
23,CUL_LanguageGroup,WSH_ImprovedToilet,false
24,MTH_MaternalAge,WSH_WashWithAgent,false
25,GEO_Region,IMM_VitaminA1,false
26,GEO_Region,BF_BreastfedMonths,false
27,GEO_Region,HOU_CookingFuel,false
