ID,Variable1,Variable2,TrueOrFalse
0,IMM_VitaminA1,IMM_Measles,true
1,MTH_Education,KNW_WatchTV,true
2,FP_ModernMethod,FP_BirthsLast5Yrs,true
3,FP_BirthsLast5Yrs,CHI_Age,true
4,ECO_WealthQuintile,HOU_ModernWallMaterial,true
5,BF_BottleFeeding,DIA_HadDiarrhoea,true
6,WSH_ImprovedToilet,WSH_ImprovedWaterSource,true
7,IMM_Measles,DIA_HadDiarrhoea,true
8,CHI_Age,BF_BreastfedMonths,true
9,KNW_WatchTV,IMM_Measles,true
10,CHI_Age,IMM_Measles,true
11,MTH_Education,IMM_Measles,true
12,KNW_WatchTV,IMM_Diptheria,true
13,CHI_Age,IMM_VitaminA1,true
14,BF_BreastfedMonths,BF_BottleFeeding,false
15,FP_BirthsLast5Yrs,CUL_LanguageGroup,false
16,WSH_ImprovedWaterSource,GEO_Region,false
17,KNW_WatchTV,BF_BreastfedMonths,false
18,MTH_MaternalAge,ECO_WealthQuintile,false
19,IMM_Diptheria,KNW_WatchTV,false
20,WSH_ImprovedWaterSource,DEL_SmallBaby,false
21,WSH_WaterTreated,HOU_ModernWallMaterial,false
22,CHI_Weight4Height,MTH_MaternalAge,false
23,HOU_ModernWallMaterial,WSH_WaterTreated,false
24,MTH_Education,CHI_Age,false
25,CHI_Age,HOU_CookingFuel,false
26,CUL_LanguageGroup,GEO_Region,false
27,IMM_Measles,IMM_VitaminA1,false
