ID,Variable1,Variable2,TrueOrFalse
0,MTH_MaternalAge,FP_ModernMethod,true
1,CHI_Age,BF_BottleFeeding,true
2,MTH_MaternalAge,CHI_Age,true
3,CHI_Age,IMM_Diptheria,true
4,FP_ModernMethod,FP_BirthsLast5Yrs,true
5,WSH_ImprovedToilet,WSH_WashWithAgent,true
6,CUL_Religion,BF_BreastfedMonths,true
7,KNW_WatchTV,FP_ModernMethod,true
8,WSH_ImprovedToilet,WSH_ImprovedWaterSource,true
9,GEO_Region,BF_EarlyBreastfeeding,true
10,CUL_LanguageGroup,ECO_WealthQuintile,true
11,MTH_Education,KNW_WatchTV,true
12,IMM_Diptheria,IMM_Measles,true
13,HOU_CookingFuel,WSH_WaterTreated,true
14,FP_ModernMethod,SRV_Near,false
15,WSH_WaterTreated,WSH_WashWithAgent,false
16,ECO_WealthQuintile,CHI_Age,false
17,FP_ModernMethod,DIA_HadDiarrhoea,false
18,FP_BirthsLast5Yrs,MTH_MaternalAge,false
19,IMM_VitaminA1,CUL_Religion,false
20,IMM_Diptheria,CUL_Religion,false
21,SRV_OKAlone,WSH_WaterTreated,false
22,MTH_Education,MTH_MaternalAge,false
23,KNW_WatchTV,CUL_LanguageGroup,false
24,IMM_Measles,IMM_VitaminA1,false
25,IMM_Diptheria,WSH_ImprovedWaterSource,false
26,CUL_LanguageGroup,IMM_VitaminA1,false
27,SRV_OKAlone,DIA_HadDiarrhoea,false
