ID,Variable1,Dependency,Variable2
1,DISCONNECT,->,VENTTUBE
2,PVSAT,->,SAO2
3,HREKG,->,HRSAT
4,HRBP,->,ERRLOWOUTPUT
5,ERRLOWOUTPUT,->,INTUBATION
6,MINVOL,->,VENTALV
7,KINKEDTUBE,->,INSUFFANESTH
8,STROKEVOLUME,->,LVFAILURE
9,STROKEVOLUME,->,CO
10,LVFAILURE,->,HISTORY
11,LVEDVOLUME,->,HYPOVOLEMIA
12,LVEDVOLUME,->,PCWP
13,LVEDVOLUME,->,CVP
14,HRSAT,->,ERRCAUTER
15,HRSAT,->,HR
16,HISTORY,->,LVEDVOLUME
17,INTUBATION,->,SHUNT
18,VENTTUBE,->,MINVOLSET
19,VENTTUBE,->,VENTMACH
20,VENTTUBE,->,MINVOL
21,VENTALV,->,VENTLUNG
22,VENTALV,->,EXPCO2
23,VENTALV,->,ARTCO2
24,ARTCO2,->,PVSAT
25,HR,->,HRBP
26,HR,->,CATECHOL
27,CO,->,HREKG
28,CO,->,BP
29,BP,->,TPR
