ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,EXPCO2
2,MINVOLSET,->,VENTMACH
3,VENTMACH,->,VENTTUBE
4,PVSAT,->,SAO2
5,HREKG,->,ERRCAUTER
6,HREKG,->,HRSAT
7,HREKG,->,HR
8,HRBP,->,ERRLOWOUTPUT
9,ERRLOWOUTPUT,->,PAP
10,MINVOL,->,INTUBATION
11,MINVOL,->,VENTALV
12,STROKEVOLUME,->,HYPOVOLEMIA
13,STROKEVOLUME,->,CO
14,LVFAILURE,->,HISTORY
15,LVEDVOLUME,->,LVFAILURE
16,LVEDVOLUME,->,PCWP
17,LVEDVOLUME,->,CVP
18,HYPOVOLEMIA,->,LVEDVOLUME
19,INTUBATION,->,SHUNT
20,VENTTUBE,->,DISCONNECT
21,VENTTUBE,->,MINVOL
22,VENTALV,->,VENTLUNG
23,VENTALV,->,ARTCO2
24,HR,->,HRBP
25,HR,->,CATECHOL
26,CO,->,HREKG
27,CO,->,BP
28,BP,->,TPR
