ID,Variable1,Dependency,Variable2
1,MINVOLSET,->,VENTMACH
2,VENTMACH,->,VENTTUBE
3,PVSAT,->,SAO2
4,EXPCO2,->,VENTLUNG
5,HREKG,->,ERRCAUTER
6,HREKG,->,HRSAT
7,HREKG,->,HR
8,HRBP,->,ERRLOWOUTPUT
9,MINVOL,->,VENTALV
10,STROKEVOLUME,->,LVEDVOLUME
11,STROKEVOLUME,->,CO
12,LVFAILURE,->,HISTORY
13,LVEDVOLUME,->,LVFAILURE
14,LVEDVOLUME,->,HYPOVOLEMIA
15,LVEDVOLUME,->,PCWP
16,LVEDVOLUME,->,CVP
17,ANAPHYLAXIS,->,PAP
18,INTUBATION,->,SHUNT
19,VENTTUBE,->,DISCONNECT
20,VENTTUBE,->,MINVOL
21,VENTALV,->,ARTCO2
22,ARTCO2,->,EXPCO2
23,HR,->,HRBP
24,HR,->,CATECHOL
25,HR,->,CO
26,CO,->,BP
27,BP,->,TPR
