ID,Parent,Child,TrueOrFalse
0,X23,X76,true
1,X12,X97,true
2,X3,X90,true
3,X5,X38,true
4,X56,X59,true
5,X58,X77,true
6,X93,X95,true
7,X47,X67,true
8,X25,X50,true
9,X21,X66,true
10,X8,X45,true
11,X31,X38,true
12,X16,X22,true
13,X34,X48,true
14,X14,X69,true
15,X85,X95,true
16,X21,X87,true
17,X61,X87,true
18,X9,X22,true
19,X57,X75,true
20,X30,X57,true
21,X80,X84,true
22,X10,X46,true
23,X41,X94,true
24,X24,X65,true
25,X73,X86,true
26,X44,X66,true
27,X82,X95,true
28,X30,X44,false
29,X40,X67,false
30,X88,X14,false
31,X80,X91,false
32,X97,X77,false
33,X52,X44,false
34,X49,X89,false
35,X31,X94,false
36,X25,X24,false
37,X95,X71,false
38,X91,X1,false
39,X21,X61,false
40,X45,X61,false
41,X77,X78,false
42,X56,X67,false
43,X1,X31,false
44,X68,X2,false
45,X96,X41,false
46,X40,X63,false
47,X90,X85,false
48,X43,X87,false
49,X61,X19,false
50,X69,X82,false
51,X4,X36,false
52,X83,X66,false
53,X6,X21,false
54,X97,X1,false
55,X4,X55,false
