ID,Parent,Child,TrueOrFalse
0,X3,X21,true
1,X32,X59,true
2,X47,X67,true
3,X26,X79,true
4,X27,X58,true
5,X13,X50,true
6,X7,X94,true
7,X50,X78,true
8,X29,X70,true
9,X17,X23,true
10,X4,X16,true
11,X21,X68,true
12,X77,X93,true
13,X37,X39,true
14,X35,X53,true
15,X76,X87,true
16,X25,X57,true
17,X19,X92,true
18,X6,X39,true
19,X26,X84,true
20,X26,X68,true
21,X1,X77,true
22,X66,X78,true
23,X9,X22,true
24,X82,X95,true
25,X85,X95,true
26,X9,X43,true
27,X10,X46,true
28,X9,X87,false
29,X78,X2,false
30,X85,X76,false
31,X58,X36,false
32,X93,X92,false
33,X25,X35,false
34,X6,X61,false
35,X37,X26,false
36,X66,X13,false
37,X39,X90,false
38,X96,X94,false
39,X63,X7,false
40,X0,X66,false
41,X7,X52,false
42,X97,X32,false
43,X60,X49,false
44,X1,X89,false
45,X31,X80,false
46,X19,X36,false
47,X85,X53,false
48,X11,X53,false
49,X44,X65,false
50,X55,X69,false
51,X53,X90,false
52,X79,X11,false
53,X82,X52,false
54,X29,X76,false
55,X17,X27,false
