ID,Variable1,Dependency,Variable2
1,BF_BreastfedMonths,->,CHI_Age
2,CHI_Age,->,IMM_VitaminA1
3,CUL_LanguageGroup,->,GEO_Region
4,ECO_WealthQuintile,->,KNW_WatchTV
5,ECO_WealthQuintile,->,MTH_Education
6,ECO_WealthQuintile,->,WSH_ImprovedToilet
7,GEO_Region,->,WSH_ImprovedWaterSource
8,IMM_Diptheria,->,IMM_Measles
9,IMM_VitaminA1,->,IMM_Diptheria
10,IMM_VitaminA1,->,IMM_Measles
11,MTH_MaternalAge,->,FP_ModernMethod
12,SRV_Near,->,KNW_WatchTV
13,SRV_Near,->,SRV_OKAlone
14,SRV_OKAlone,->,BF_BottleFeeding
15,WSH_ImprovedWaterSource,->,ECO_WealthQuintile
16,WSH_WaterTreated,->,HOU_CookingFuel
17,WSH_WaterTreated,->,SRV_Near
