ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,EXPCO2
2,MINVOLSET,->,VENTMACH
3,VENTMACH,->,VENTTUBE
4,PVSAT,->,SAO2
5,EXPCO2,->,ARTCO2
6,HREKG,->,ERRCAUTER
7,HREKG,->,HRBP
8,HREKG,->,HRSAT
9,HREKG,->,HR
10,HRBP,->,ERRLOWOUTPUT
11,MINVOL,->,VENTALV
12,STROKEVOLUME,->,HYPOVOLEMIA
13,LVFAILURE,->,HISTORY
14,LVEDVOLUME,->,LVFAILURE
15,LVEDVOLUME,->,PCWP
16,LVEDVOLUME,->,CVP
17,HYPOVOLEMIA,->,LVEDVOLUME
18,INTUBATION,->,MINVOL
19,INTUBATION,->,SHUNT
20,VENTTUBE,->,DISCONNECT
21,VENTALV,->,VENTLUNG
22,VENTALV,->,MINVOLSET
23,HR,->,CATECHOL
24,HR,->,CO
25,CO,->,STROKEVOLUME
26,CO,->,BP
27,BP,->,TPR
