ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,MINVOL
2,VENTMACH,->,MINVOLSET
3,PVSAT,->,SAO2
4,HREKG,->,HRSAT
5,HRBP,->,ERRLOWOUTPUT
6,LVFAILURE,->,LVEDVOLUME
7,LVEDVOLUME,->,HYPOVOLEMIA
8,LVEDVOLUME,->,PCWP
9,LVEDVOLUME,->,CVP
10,HRSAT,->,ERRCAUTER
11,HISTORY,->,LVFAILURE
12,VENTTUBE,->,VENTLUNG
13,VENTTUBE,->,DISCONNECT
14,VENTTUBE,->,VENTMACH
15,VENTALV,->,ARTCO2
16,CATECHOL,->,HR
17,ARTCO2,->,EXPCO2
18,HR,->,HREKG
19,HR,->,HRBP
20,HR,->,CO
21,CO,->,STROKEVOLUME
22,CO,->,BP
23,TPR,->,CATECHOL
24,TPR,->,BP
25,SHUNT,->,INTUBATION
