ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,EXPCO2
2,VENTLUNG,->,MINVOL
3,VENTLUNG,->,VENTALV
4,MINVOLSET,->,VENTMACH
5,VENTMACH,->,VENTTUBE
6,PVSAT,->,SAO2
7,EXPCO2,->,VENTLUNG
8,HRBP,->,ERRLOWOUTPUT
9,HRBP,->,HR
10,LVFAILURE,->,LVEDVOLUME
11,LVEDVOLUME,->,HYPOVOLEMIA
12,LVEDVOLUME,->,PCWP
13,LVEDVOLUME,->,CVP
14,HRSAT,->,HREKG
15,HRSAT,->,ERRCAUTER
16,HISTORY,->,LVFAILURE
17,VENTTUBE,->,DISCONNECT
18,VENTALV,->,PVSAT
19,VENTALV,->,ARTCO2
20,HR,->,HRSAT
21,HR,->,CATECHOL
22,HR,->,CO
23,CO,->,STROKEVOLUME
24,CO,->,BP
25,BP,->,TPR
26,PCWP,->,INSUFFANESTH
27,INSUFFANESTH,->,KINKEDTUBE
28,SHUNT,->,INTUBATION
29,PULMEMBOLUS,->,SHUNT
