ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,EXPCO2
2,MINVOLSET,->,VENTMACH
3,VENTMACH,->,VENTTUBE
4,HREKG,->,HRSAT
5,HRBP,->,ERRLOWOUTPUT
6,HRBP,->,HR
7,LVFAILURE,->,HISTORY
8,LVEDVOLUME,->,LVFAILURE
9,LVEDVOLUME,->,HYPOVOLEMIA
10,LVEDVOLUME,->,PCWP
11,LVEDVOLUME,->,CVP
12,HYPOVOLEMIA,->,KINKEDTUBE
13,HRSAT,->,ERRCAUTER
14,INTUBATION,->,VENTALV
15,VENTTUBE,->,DISCONNECT
16,VENTALV,->,MINVOL
17,VENTALV,->,ARTCO2
18,HR,->,CATECHOL
19,HR,->,CO
20,CO,->,STROKEVOLUME
21,CO,->,BP
22,BP,->,TPR
23,INSUFFANESTH,->,ANAPHYLAXIS
24,SHUNT,->,INTUBATION
