ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,EXPCO2
2,MINVOLSET,->,VENTMACH
3,VENTMACH,->,VENTTUBE
4,PVSAT,->,SAO2
5,HREKG,->,ERRCAUTER
6,HRBP,->,ERRLOWOUTPUT
7,MINVOL,->,VENTALV
8,STROKEVOLUME,->,CO
9,LVFAILURE,->,HISTORY
10,LVEDVOLUME,->,LVFAILURE
11,LVEDVOLUME,->,HYPOVOLEMIA
12,LVEDVOLUME,->,PCWP
13,LVEDVOLUME,->,CVP
14,HYPOVOLEMIA,->,STROKEVOLUME
15,HRSAT,->,HREKG
16,VENTTUBE,->,DISCONNECT
17,VENTTUBE,->,MINVOL
18,VENTALV,->,VENTLUNG
19,VENTALV,->,ARTCO2
20,HR,->,HRBP
21,HR,->,HRSAT
22,HR,->,CATECHOL
23,CO,->,HR
24,BP,->,TPR
25,SHUNT,->,INTUBATION
