ID,Variable1,Dependency,Variable2
1,VENTMACH,->,MINVOLSET
2,VENTMACH,->,VENTTUBE
3,PVSAT,->,SAO2
4,HREKG,->,HRSAT
5,HRBP,->,ERRLOWOUTPUT
6,HRBP,->,HR
7,LVFAILURE,->,HISTORY
8,LVEDVOLUME,->,HYPOVOLEMIA
9,LVEDVOLUME,->,PCWP
10,LVEDVOLUME,->,CVP
11,HRSAT,->,ERRCAUTER
12,INTUBATION,->,SHUNT
13,VENTTUBE,->,DISCONNECT
14,VENTTUBE,->,PRESS
15,VENTALV,->,VENTLUNG
16,VENTALV,->,EXPCO2
17,VENTALV,->,MINVOL
18,VENTALV,->,ARTCO2
19,HR,->,CATECHOL
20,HR,->,CO
21,CO,->,STROKEVOLUME
22,CO,->,LVFAILURE
23,CO,->,BP
24,TPR,->,BP
25,SHUNT,->,PULMEMBOLUS
