ID,Parent,Child,TrueOrFalse
0,X9,X94,true
1,X18,X194,true
2,X81,X151,true
3,X7,X14,true
4,X16,X17,true
5,X0,X20,true
6,X20,X107,true
7,X54,X141,true
8,X47,X152,true
9,X0,X133,true
10,X125,X144,true
11,X74,X164,true
12,X5,X198,true
13,X20,X59,true
14,X0,X24,true
15,X40,X44,true
16,X74,X113,true
17,X1,X3,true
18,X0,X25,true
19,X9,X42,true
20,X0,X56,true
21,X0,X13,true
22,X8,X127,true
23,X78,X178,true
24,X18,X40,true
25,X1,X25,true
26,X81,X97,true
27,X28,X170,true
28,X5,X8,true
29,X8,X35,true
30,X34,X44,true
31,X31,X172,true
32,X5,X18,true
33,X20,X85,true
34,X16,X173,true
35,X7,X47,true
36,X78,X118,true
37,X18,X47,true
38,X120,X184,true
39,X141,X145,true
40,X27,X154,true
41,X21,X72,true
42,X0,X5,true
43,X9,X176,true
44,X47,X93,true
45,X45,X189,true
46,X126,X166,true
47,X90,X118,true
48,X103,X108,true
49,X35,X129,true
50,X148,X162,true
51,X0,X175,true
52,X53,X187,true
53,X4,X59,true
54,X23,X154,true
55,X7,X33,true
56,X0,X2,true
57,X41,X171,true
58,X5,X11,true
59,X71,X176,true
60,X81,X163,true
61,X43,X110,true
62,X126,X167,true
63,X100,X152,true
64,X5,X140,true
65,X3,X20,true
66,X9,X29,true
67,X9,X67,true
68,X7,X22,true
69,X127,X168,true
70,X90,X138,true
71,X53,X125,true
72,X116,X159,true
73,X29,X90,true
74,X61,X106,true
75,X3,X82,true
76,X69,X88,true
77,X35,X147,true
78,X104,X135,true
79,X54,X184,false
80,X14,X181,false
81,X116,X146,false
82,X92,X8,false
83,X198,X174,false
84,X9,X166,false
85,X13,X187,false
86,X111,X126,false
87,X33,X180,false
88,X26,X1,false
89,X163,X93,false
90,X55,X33,false
91,X196,X199,false
92,X102,X97,false
93,X164,X22,false
94,X183,X36,false
95,X61,X174,false
96,X94,X61,false
97,X82,X39,false
98,X127,X121,false
99,X98,X27,false
100,X149,X63,false
101,X5,X52,false
102,X57,X77,false
103,X152,X46,false
104,X155,X152,false
105,X191,X60,false
106,X121,X109,false
107,X13,X51,false
108,X139,X27,false
109,X193,X112,false
110,X191,X115,false
111,X125,X71,false
112,X14,X95,false
113,X196,X30,false
114,X180,X20,false
115,X43,X164,false
116,X68,X161,false
117,X136,X29,false
118,X111,X78,false
119,X19,X153,false
120,X7,X63,false
121,X130,X197,false
122,X13,X2,false
123,X119,X144,false
124,X161,X149,false
125,X158,X99,false
126,X81,X143,false
127,X152,X66,false
128,X199,X1,false
129,X92,X10,false
130,X132,X29,false
131,X116,X96,false
132,X83,X82,false
133,X42,X168,false
134,X178,X102,false
135,X192,X155,false
136,X104,X85,false
137,X159,X4,false
138,X139,X126,false
139,X167,X86,false
140,X63,X16,false
141,X55,X106,false
142,X192,X139,false
143,X3,X47,false
144,X181,X160,false
145,X19,X156,false
146,X178,X3,false
147,X59,X169,false
148,X97,X142,false
149,X137,X183,false
150,X158,X112,false
151,X163,X26,false
152,X117,X89,false
153,X98,X190,false
154,X68,X143,false
155,X146,X129,false
156,X80,X118,false
157,X65,X15,false
