ID,Variable1,Dependency,Variable2
1,DISCONNECT,->,VENTTUBE
2,VENTMACH,->,MINVOLSET
3,PRESS,->,PULMEMBOLUS
4,FIO2,->,PVSAT
5,PVSAT,->,FIO2
6,HREKG,->,HRSAT
7,ERRCAUTER,->,HREKG
8,HRBP,->,HR
9,MINVOL,->,VENTLUNG
10,MINVOL,->,VENTALV
11,KINKEDTUBE,->,VENTLUNG
12,STROKEVOLUME,->,CO
13,LVEDVOLUME,->,HYPOVOLEMIA
14,LVEDVOLUME,->,PCWP
15,LVEDVOLUME,->,CVP
16,HYPOVOLEMIA,->,KINKEDTUBE
17,HRSAT,->,HRBP
18,ANAPHYLAXIS,->,CATECHOL
19,INTUBATION,->,PRESS
20,VENTTUBE,->,PRESS
21,VENTALV,->,DISCONNECT
22,VENTALV,->,ARTCO2
23,CATECHOL,->,LVFAILURE
24,ARTCO2,->,EXPCO2
25,ARTCO2,->,VENTTUBE
26,CO,->,BP
27,BP,->,TPR
28,PULMEMBOLUS,->,SHUNT
