ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,MINVOL
2,VENTLUNG,->,VENTALV
3,DISCONNECT,->,PRESS
4,DISCONNECT,->,VENTTUBE
5,VENTMACH,->,MINVOLSET
6,PVSAT,->,SAO2
7,EXPCO2,->,VENTLUNG
8,HREKG,->,HRSAT
9,HRBP,->,HR
10,ERRLOWOUTPUT,->,HRBP
11,STROKEVOLUME,->,LVFAILURE
12,LVFAILURE,->,LVEDVOLUME
13,LVFAILURE,->,HISTORY
14,LVEDVOLUME,->,HYPOVOLEMIA
15,LVEDVOLUME,->,PCWP
16,LVEDVOLUME,->,CVP
17,HRSAT,->,ERRCAUTER
18,INTUBATION,->,SHUNT
19,VENTTUBE,->,VENTMACH
20,VENTALV,->,ARTCO2
21,HR,->,HREKG
22,HR,->,CATECHOL
23,HR,->,CO
24,CO,->,STROKEVOLUME
25,CO,->,BP
26,BP,->,TPR
27,PCWP,->,FIO2
