ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,EXPCO2
2,VENTLUNG,->,VENTALV
3,MINVOLSET,->,VENTMACH
4,DISCONNECT,->,PRESS
5,PRESS,->,KINKEDTUBE
6,PVSAT,->,SAO2
7,HREKG,->,HRSAT
8,STROKEVOLUME,->,CO
9,LVFAILURE,->,HISTORY
10,LVEDVOLUME,->,STROKEVOLUME
11,LVEDVOLUME,->,LVFAILURE
12,LVEDVOLUME,->,CVP
13,HYPOVOLEMIA,->,PCWP
14,HRSAT,->,ERRCAUTER
15,HRSAT,->,HRBP
16,INTUBATION,->,SHUNT
17,VENTTUBE,->,DISCONNECT
18,VENTALV,->,MINVOL
19,VENTALV,->,VENTTUBE
20,VENTALV,->,ARTCO2
21,CATECHOL,->,TPR
22,HR,->,HREKG
23,HR,->,CATECHOL
24,HR,->,CO
25,BP,->,INSUFFANESTH
26,TPR,->,BP
27,PCWP,->,LVEDVOLUME
28,SHUNT,->,PULMEMBOLUS
29,PULMEMBOLUS,->,PAP
