ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,EXPCO2
2,VENTLUNG,->,VENTALV
3,MINVOLSET,->,VENTMACH
4,PVSAT,->,SAO2
5,HREKG,->,ERRCAUTER
6,HREKG,->,HRBP
7,ERRCAUTER,->,HRSAT
8,HRBP,->,ERRLOWOUTPUT
9,HRBP,->,HR
10,MINVOL,->,VENTTUBE
11,LVFAILURE,->,HISTORY
12,LVEDVOLUME,->,LVFAILURE
13,LVEDVOLUME,->,PCWP
14,LVEDVOLUME,->,CVP
15,HYPOVOLEMIA,->,LVEDVOLUME
16,HYPOVOLEMIA,->,CO
17,INTUBATION,->,SHUNT
18,VENTTUBE,->,MINVOLSET
19,VENTTUBE,->,DISCONNECT
20,VENTTUBE,->,PRESS
21,VENTALV,->,MINVOL
22,VENTALV,->,INTUBATION
23,VENTALV,->,ARTCO2
24,CATECHOL,->,ERRCAUTER
25,HR,->,HRSAT
26,HR,->,CO
27,CO,->,STROKEVOLUME
28,CO,->,BP
29,TPR,->,BP
