ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,VENTALV
2,MINVOLSET,->,VENTMACH
3,DISCONNECT,->,VENTTUBE
4,VENTMACH,->,VENTTUBE
5,PRESS,->,DISCONNECT
6,EXPCO2,->,VENTLUNG
7,ERRCAUTER,->,HREKG
8,ERRCAUTER,->,HRSAT
9,HRBP,->,ERRLOWOUTPUT
10,MINVOL,->,ARTCO2
11,LVFAILURE,->,HISTORY
12,LVEDVOLUME,->,LVFAILURE
13,LVEDVOLUME,->,PCWP
14,LVEDVOLUME,->,CVP
15,HYPOVOLEMIA,->,LVEDVOLUME
16,HYPOVOLEMIA,->,INSUFFANESTH
17,VENTALV,->,MINVOL
18,CATECHOL,->,SAO2
19,HR,->,HREKG
20,HR,->,HRBP
21,HR,->,HRSAT
22,HR,->,CO
23,CO,->,STROKEVOLUME
24,CO,->,CATECHOL
25,BP,->,TPR
26,TPR,->,HR
27,PULMEMBOLUS,->,SHUNT
28,SAO2,->,PVSAT
