ID,Parent,Child,TrueOrFalse
0,X12,X86,true
1,X36,X56,true
2,X45,X92,true
3,X0,X68,true
4,X2,X27,true
5,X15,X18,true
6,X1,X7,true
7,X6,X59,true
8,X43,X54,true
9,X2,X17,true
10,X65,X90,true
11,X22,X79,true
12,X18,X33,true
13,X24,X37,true
14,X27,X73,true
15,X0,X1,true
16,X0,X45,true
17,X18,X58,true
18,X8,X25,true
19,X8,X11,true
20,X16,X72,true
21,X0,X70,true
22,X12,X32,true
23,X2,X66,true
24,X23,X96,true
25,X31,X32,true
26,X1,X28,true
27,X1,X98,true
28,X0,X4,true
29,X11,X67,true
30,X37,X83,true
31,X8,X14,true
32,X45,X87,true
33,X4,X8,true
34,X34,X73,true
35,X32,X74,true
36,X48,X61,true
37,X27,X95,true
38,X1,X38,true
39,X35,X21,false
40,X21,X2,false
41,X36,X59,false
42,X90,X1,false
43,X68,X27,false
44,X33,X96,false
45,X17,X86,false
46,X64,X69,false
47,X97,X60,false
48,X14,X98,false
49,X4,X17,false
50,X65,X39,false
51,X44,X73,false
52,X20,X75,false
53,X56,X34,false
54,X23,X75,false
55,X72,X17,false
56,X87,X46,false
57,X20,X41,false
58,X28,X14,false
59,X68,X0,false
60,X3,X40,false
61,X7,X64,false
62,X7,X68,false
63,X37,X99,false
64,X56,X77,false
65,X73,X41,false
66,X93,X6,false
67,X60,X89,false
68,X80,X72,false
69,X7,X25,false
70,X52,X64,false
71,X71,X72,false
72,X94,X4,false
73,X61,X40,false
74,X63,X0,false
75,X33,X16,false
76,X38,X15,false
77,X66,X13,false
