ID,Parent,Child,TrueOrFalse
0,X15,X76,true
1,X9,X22,true
2,X21,X85,true
3,X2,X7,true
4,X9,X71,true
5,X16,X91,true
6,X30,X89,true
7,X32,X74,true
8,X1,X30,true
9,X18,X28,true
10,X3,X31,true
11,X7,X29,true
12,X0,X1,true
13,X43,X80,true
14,X15,X18,true
15,X28,X66,true
16,X65,X90,true
17,X0,X2,true
18,X4,X24,true
19,X7,X67,true
20,X1,X51,true
21,X62,X65,true
22,X7,X78,true
23,X23,X58,true
24,X27,X80,true
25,X2,X16,true
26,X12,X96,true
27,X17,X18,true
28,X1,X33,true
29,X18,X69,true
30,X5,X13,true
31,X37,X64,true
32,X11,X47,true
33,X7,X22,true
34,X38,X51,true
35,X0,X9,true
36,X1,X59,true
37,X7,X10,true
38,X0,X65,true
39,X0,X11,false
40,X56,X35,false
41,X97,X63,false
42,X55,X4,false
43,X83,X23,false
44,X97,X93,false
45,X25,X29,false
46,X18,X11,false
47,X50,X97,false
48,X98,X70,false
49,X68,X52,false
50,X36,X14,false
51,X15,X28,false
52,X6,X70,false
53,X12,X94,false
54,X58,X35,false
55,X90,X29,false
56,X74,X31,false
57,X81,X22,false
58,X20,X55,false
59,X55,X57,false
60,X50,X8,false
61,X30,X92,false
62,X12,X37,false
63,X89,X60,false
64,X75,X72,false
65,X68,X67,false
66,X72,X0,false
67,X23,X91,false
68,X95,X49,false
69,X72,X70,false
70,X38,X59,false
71,X55,X79,false
72,X18,X67,false
73,X92,X95,false
74,X63,X88,false
75,X69,X94,false
76,X68,X3,false
77,X84,X33,false
